"Datum","Uhrzeit","Plattform","Post-Typ","Text","Link","Bild-URL","Bildprompt","Videoprompt","Text-Overlay","Karussell-Slides","Status"
"01.07.2026","09:00","Instagram","Story","🎁 Die meisten Geschenke sind nach einer Woche vergessen. Das hier nicht.

Schreib SONG, dann schick ich dir den Link dazu. Link auch in der Bio.","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, close-up of a beautifully wrapped gift box being opened with a smile, warm golden light, personal and intimate moment, 9:16 vertical format, photorealistic","Das Geschenk
das bleibt.","","Geplant"
"01.07.2026","18:00","Instagram","Reel","🎁 Die meisten Geschenke sind nach einer Woche vergessen.

Dieses nicht. Weil es nicht aus einem Laden kommt. Weil es einen Namen trägt. Eine Geschichte. Einen Moment, den nur ihr zwei kennt.

Ein persönlicher Song. Fertig in wenigen Minuten. Schreib SONG, dann schick ich dir den Link dazu. Link auch in der Bio.

#PersönlichesGeschenk #Geburtstag #SongAlsGeschenk","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, person receiving a heartfelt gift, emotional and surprised expression, warm celebration atmosphere, 9:16 vertical format, photorealistic","Fertig in Minuten.","","Geplant"
"02.07.2026","09:00","Instagram","Story","🎵 Was schenkst du jemandem, der schon alles hat? Genau das.

Schreib SONG, dann schick ich dir den Link dazu. Link auch in der Bio.","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, person thoughtfully holding a small music note card, warm light, personal and meaningful moment, 9:16 vertical format, photorealistic","Was schenkst du
jemandem mit allem?","","Geplant"
"02.07.2026","18:00","Instagram","Reel","🎵 Was schenkst du jemandem, der schon alles hat?

Kein Gegenstand. Kein Gutschein. Etwas das er oder sie nie selbst kaufen würde und nie vergessen wird.

Einen Song über ihn. Über sie. Über das was ihr zusammen erlebt habt. Schreib SONG, dann schick ich dir den Link. Link auch in der Bio.

#Geschenkidee #PersönlichesGeschenk #SongAlsGeschenk","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, two people sharing a meaningful emotional moment, intimate and warm, soft indoor light, 9:16 vertical format, photorealistic","Etwas das bleibt.
Das man nie kaufen würde.","","Geplant"
"03.07.2026","09:00","Instagram","Story","⚽ Euer Verein hat noch keine eigene Hymne? Das ändert sich jetzt.

Schreib HYMNE, dann meld ich mich. Link auch in der Bio.","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, sports team celebrating in a locker room, singing and arms around each other, authentic team spirit, 9:16 vertical format, photorealistic","Eure Hymne.
Euer Verein.","","Geplant"
"03.07.2026","18:00","Instagram","Reel","⚽ Euer Verein hat noch keine eigene Hymne?

Andere Vereine singen. Ihr schaut zu. Das muss nicht so bleiben.

Eine echte Vereinshymne. Auf eure Geschichte geschrieben. Für den Chor, die Kabine, das Stadion. Schreib HYMNE, dann meld ich mich bei euch. Link auch in der Bio.

#Vereinshymne #Vereinssong #MeinVerein","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, sports fans singing passionately in stadium stands, emotional unity, loud and alive, 9:16 vertical format, photorealistic","Für eure Kabine.
Für euer Stadion.","","Geplant"
"04.07.2026","09:00","Instagram","Story","🏢 Euer Firmenjubiläum kommt. Und alle fragen: Was machen wir Besonderes?

Schreib HYMNE, dann meld ich mich. Link auch in der Bio.","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, company celebration event, team raising glasses, warm festive indoor atmosphere, 9:16 vertical format, photorealistic","Jubiläumssong.
Bleibt für immer.","","Gepostet"
"04.07.2026","18:00","Instagram","Reel","🏢 Euer Firmenjubiläum kommt.

Die Chronik steht. Die Reden sind geplant. Aber was bleibt noch in zehn Jahren?

Ein Song über eure Geschichte. Geschrieben nach einem kurzen Gespräch mit euch. Für den großen Abend. Schreib HYMNE, dann besprechen wir das. Link auch in der Bio.

#Firmenjubiläum #Unternehmenssong #TeamGeist","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, company anniversary celebration, employees singing and clapping together, festive and proud atmosphere, 9:16 vertical format, photorealistic","Geschrieben nach
eurer Geschichte.","","Gepostet"
"05.07.2026","09:00","Instagram","Story","💍 Der erste Tanz. Das Lied dazu soll wirklich zu euch passen. Nicht zu irgendjemand.

Schreib SONG, dann schick ich dir den Link dazu. Link auch in der Bio.","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, couple sharing their first dance at a wedding, romantic soft light, emotional and intimate, 9:16 vertical format, photorealistic","Euer erster Tanz.
Euer Lied.","","Geplant"
"05.07.2026","18:00","Instagram","Reel","💍 Der erste Tanz als Ehepaar.

Das Lied dazu soll passen. Zu euch. Zu eurem ersten Jahr zusammen. Zu dem Abend wo alles angefangen hat.

Kein fertiger Song. Eurer. Persönlich zusammengestellt. Schreib SONG, dann schick ich dir den Link. Link auch in der Bio.

#Hochzeitslied #ErsterTanz #Hochzeitsgeschenk","https://sicher-weiterlesen.com/song","","","Cinematic B-Roll, bride and groom dancing closely, wedding guests watching emotional, warm reception hall light, 9:16 vertical format, photorealistic","Persönlich zusammengestellt.","","Gepostet"
