Nr,Kategorie,Szene,Für,Bild-Prompt,"Video-Prompt (Image-to-Video, 5 Sek)",Format
1,Reise & Strand,Wassermelone am Strand,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — wearing a white triangle bikini, joyful open laugh, slightly wet tousled beach hair, sun-kissed skin with freckles, natural skin. [Action]: holding a fresh watermelon slice at chest height with both hands, laughing towards the camera, shoulders relaxed. [Environment]: sunny beach at the water's edge, turquoise sea with soft waves blurred behind, clear summer sky. [Cinematography]: waist-up shot, eye level, 50mm look, f/2.8 shallow depth of field, subject centered, 9:16. [Lighting/Style]: bright direct midday sunlight, sparkling highlights on the water, vibrant candid summer energy. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person laughs naturally and lifts the watermelon slice slightly, hair strands moving in the sea breeze, waves rolling softly in the background, static camera, natural realistic motion, face stays consistent and stable, no morphing.",9:16
2,Reise & Strand,Selfie am Yachthafen,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — wearing a rust-brown knotted wrap blouse and light denim shorts, sunglasses pushed up on the head, delicate gold necklace, woven straw bag over the shoulder, soft content smile, natural skin. [Action]: taking a selfie with one arm extended towards the camera, the other hand gently touching the cheek, head slightly tilted. [Environment]: wooden marina boardwalk, luxury yachts and boat masts in the background, calm harbor water. [Cinematography]: selfie POV at arm's length, slight high angle, natural phone-camera look, 9:16. [Lighting/Style]: warm afternoon sun, soft golden highlights, effortless vacation luxury vibe, candid and authentic. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Subtle handheld selfie movement, the person tilts the head a little and smiles softly into the lens, yachts swaying very gently behind, light reflections moving on the water, natural realistic motion, face stays consistent and stable, no morphing.",9:16
3,Reise & Strand,Infinity-Pool-Ausstieg,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a white string bikini, glowing tanned skin, hair in a loose braided updo, radiant smile towards the camera, natural skin. [Action]: climbing out of an infinity pool holding both chrome ladder rails, body angled towards the camera, water dripping off. [Environment]: rooftop infinity pool with bright turquoise water, white modern hotel architecture and deep blue summer sky behind. [Cinematography]: full-body shot from the pool edge, slight low angle, crisp focus on the subject, 9:16. [Lighting/Style]: intense midday sun, sparkling water reflections, luxury resort summer vibe. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Water drips and ripples as the person slowly steps up the ladder, sunlight sparkling on the moving water surface, the smile stays natural, slow gentle push-in, realistic motion, face stays consistent and stable, no morphing.",9:16
4,Fashion & Editorial,Rooftop über der Skyline,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an elegant white one-shoulder crop top and white high-waisted trousers, sleek high bun, thin gold bracelet, calm confident expression, natural skin. [Action]: standing at a glass balcony railing, one hand resting lightly on it, gazing off to the side into the distance. [Environment]: rooftop terrace high above a big city skyline, skyscrapers softly hazy in warm light. [Cinematography]: three-quarter body shot, eye level, 85mm portrait compression, background gently blurred, 9:16. [Lighting/Style]: golden late-afternoon sunlight from the side, soft warm tones, minimalist editorial luxury mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","A light breeze moves the fabric of the top slightly, the person slowly turns the gaze towards the horizon, city haze shimmering softly in the background, slow gentle orbit to the right, calm cinematic pacing, face stays consistent and stable, no morphing.",9:16
5,Food & Café,Mojito-Moment am Meer,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a simple white top, playful sideways glance, flushed sun-kissed cheeks, natural skin. [Action]: leaning on a table close to the camera, sipping a mojito through a straw, eyes glancing mischievously to the side. [Environment]: beach bar table with two more fresh mojitos with mint and crushed ice in the foreground, sea and shoreline softly blurred behind. [Cinematography]: close-up at table level, foreground drinks framing the shot, very shallow depth of field, 9:16. [Lighting/Style]: warm golden-hour glow, backlit hair edges, playful relaxed holiday mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person sips slowly through the straw and glances playfully to the side, condensation glistening on the cold glasses, tiny bubbles rising in the drinks, static close-up camera, natural realistic motion, face stays consistent and stable, no morphing.",9:16
6,Reise & Strand,Eis in der Altstadt,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — wearing a white bikini top and white linen trousers, dark sunglasses, woven straw bag, joyful open laugh, tanned skin, natural skin. [Action]: strolling down the street holding a soft-serve ice cream cone in one hand, mid-laugh, relaxed vacation walk. [Environment]: narrow Mediterranean old-town street with white buildings, a leafy green tree, parked scooters, a glimpse of blue sea at the end of the street. [Cinematography]: three-quarter shot from slightly below eye level, candid street-photography feel, 9:16. [Lighting/Style]: bright sunny midday with soft dappled shadows from the tree, Amalfi-coast summer vibe, candid and authentic. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person walks slowly towards the camera laughing naturally, sunlight and leaf shadows shifting gently across the scene, linen trousers moving with each step, slow smooth pull-back, realistic motion, face stays consistent and stable, no morphing.",9:16
7,Morgenroutine,Erster Kaffee am Fenster,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a soft oversized beige knit sweater, sleepy content half-smile, relaxed morning look, natural skin. [Action]: holding a steaming ceramic mug with both hands, looking out of a large window, leaning against the frame. [Environment]: bright apartment at sunrise, city rooftops outside the window, a plant and books on the windowsill. [Cinematography]: waist-up shot from the side, 50mm look, shallow depth of field, 9:16. [Lighting/Style]: soft golden sunrise light streaming in, calm cozy morning mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Steam rises slowly from the mug, the person takes a small sip and keeps gazing outside, sunlight shifting softly, static camera, calm realistic motion, face stays consistent and stable, no morphing.",9:16
8,Morgenroutine,Bett-Stretch bei Sonnenaufgang,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a plain white sleep shirt, eyes just opened, natural relaxed expression, natural skin. [Action]: sitting on the edge of the bed stretching both arms upwards, head tilted slightly back. [Environment]: minimal bright bedroom, white linen sheets slightly wrinkled, warm light through sheer curtains. [Cinematography]: three-quarter shot, eye level, soft focus background, 9:16. [Lighting/Style]: dim golden morning light, peaceful quiet mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person stretches slowly and lowers the arms with a relaxed exhale, curtains moving gently in a light draft, soft light shifting, static camera, natural motion, face stays consistent and stable, no morphing.",9:16
9,Morgenroutine,Kaltes Wasser ins Gesicht,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a plain grey t-shirt, focused determined expression, water droplets on the face, natural skin. [Action]: splashing cold water into the face over a bathroom sink, hands cupped, mid-splash. [Environment]: clean modern bathroom, large mirror, a folded white towel beside the sink. [Cinematography]: close-up over the shoulder into the mirror, crisp focus on the splash, 9:16. [Lighting/Style]: fresh neutral daylight, energizing determined mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Water splashes and drips from the hands, the person lifts the head slightly towards the mirror, droplets falling, static camera, crisp realistic motion, face stays consistent and stable, no morphing.",9:16
10,Morgenroutine,Journaling mit Tee,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a cream ribbed loungewear set, hair loosely tied, calm focused expression, natural skin. [Action]: writing in an open journal with a pen, a cup of tea steaming beside the notebook. [Environment]: warm wooden desk by a window, small plant and linen curtain, soft morning glow. [Cinematography]: over-the-shoulder shot onto the journal, shallow depth of field, 9:16. [Lighting/Style]: warm soft window light, mindful quiet mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The pen moves steadily across the page, steam rises from the tea, the person pauses briefly and continues writing, slow gentle push-in, calm motion, face stays consistent and stable, no morphing.",9:16
