"Datum","Uhrzeit","Plattform","Post-Typ","Text","Link","Bild-URL","Bildprompt","Videoprompt","Text-Overlay","Karussell-Slides","Status"
"01.07.2026","09:00","Instagram","Story","💻 Halbzeit des Jahres. Was hättest du heute neben deinem Job aufgebaut, wenn du im Januar angefangen hättest? 📈

Wenn dich das interessiert, schreib INFO.","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, person looking at laptop with business charts midyear, motivational reflection, morning light, 9:16 vertical format, photorealistic","Halbzeit. Was
hast du aufgebaut?","","Geplant"
"01.07.2026","18:00","Instagram","Reel","💻 Halbzeit 2026. Sechs Monate rum. 📅

Wer sich Anfang Januar vorgenommen hat, sich ein zweites Einkommen aufzubauen: wie weit bist du?

Viele sind noch am selben Punkt wie im Januar. Nicht weil sie faul sind. Sondern weil kein klarer Plan da war.

Der TAC Workshop gibt dir diesen Plan. Schritt für Schritt. Nebenher. 📈

Wenn dich das interessiert, schreib INFO.

#Affiliate #NebenjobKündigungssicher #TAC","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, midyear calendar turning, person at laptop starting to build something, determined energy, 9:16 vertical format, photorealistic","Halbzeit.
Jetzt anfangen.","","Geplant"
"02.07.2026","09:00","Instagram","Story","📱 Nebenher Geld verdienen klingt nach Mythos. Es ist Realität, wenn du weißt wie. 💰

Wenn dich das interessiert, schreib INFO.","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, phone screen showing an incoming payment notification, simple home setup, morning light, 9:16 vertical format, photorealistic","Nebenher Geld.
Kein Mythos.","","Geplant"
"02.07.2026","18:00","Instagram","Reel","📱 Kein eigenes Produkt. Kein Startkapital. Trotzdem ein zweites Einkommen aufbauen. 💰

Wie geht das?

Affiliate Marketing. Du empfiehlst ein Produkt das bereits existiert. Jemand kauft. Du bekommst eine Beteiligung.

Ohne Lager. Ohne Produktion. Ohne Startinvestition.

Der Workshop zeigt den Aufbau. Schreib INFO.

#Affiliate #NineToFive #TAC","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, affiliate commission notification appearing on phone, no product no warehouse, freedom concept, 9:16 vertical format, photorealistic","Kein Produkt.
Trotzdem Provision.","","Uebersprungen"
"03.07.2026","09:00","Instagram","Story","📉 Jeden Monat dasselbe Gehalt. Jeden Monat mehr kostet alles.

Wenn dich das interessiert, schreib INFO.","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, close up of a pay slip, inflation context, hand holding it under office light, 9:16 vertical format, photorealistic","Gehalt gleich.
Preise steigen.","","Gepostet"
"03.07.2026","18:00","Instagram","Reel","📉 Jeden Monat dasselbe Gehalt. Jeden Monat teurer alles. 💸

Lebensmittel. Energie. Wohnen. Steuern.

Das Gehalt steigt irgendwann. Aber nicht so schnell wie alles andere.

Wer nur auf ein Einkommen setzt läuft auf Dauer hinterher.

Wenn dich das interessiert, schreib INFO. Der Workshop zeigt wie du nebenher ein zweites aufbaust.

#Inflation #Gehalt #TAC","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, price tags rising, salary staying flat visualization, economic pressure concept, 9:16 vertical format, photorealistic","Gehalt steht still.
Preise nicht.","","Gepostet"
"04.07.2026","09:00","Instagram","Story","⏰ Morgens Wecker. Abends Feierabend. Dazwischen das Leben anderer aufbauen. Wie lange noch?

Wenn dich das interessiert, schreib INFO.","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, alarm clock going off at 6am, same routine every morning, resigned energy, 9:16 vertical format, photorealistic","Morgens Wecker.
Wie lange noch?","","Gepostet"
"04.07.2026","18:00","Instagram","Reel","⏰ Morgens Wecker um halb sieben. Abends Feierabend um fünf. Dazwischen das Leben anderer aufbauen. 💻

Das ist Nine to Five. Es funktioniert. Solange der Job sicher ist.

Aber wie sicher ist er noch wirklich? Steuern steigen. Preise steigen. Unternehmen sparen.

Es gibt einen Weg nebenher etwas aufzubauen das nicht aufhört wenn der Job aufhört.

Wenn dich das interessiert, schreib INFO. Der Workshop zeigt wie.

#NineToFive #PassivesEinkommen #TAC","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, office worker routine from morning to evening, same path every day, trapped energy, 9:16 vertical format, photorealistic","Nine to Five.
Was danach?","","Geplant"
"05.07.2026","09:00","Instagram","Story","🛡️ Ein zweites Standbein aufbauen bedeutet nicht Sicherheit zu verlieren. Es bedeutet mehr davon zu bekommen.

Wenn dich das interessiert, schreib INFO.","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, two pillars standing stable, foundation concept, solid ground, 9:16 vertical format, photorealistic","Zweites Standbein.
Mehr Sicherheit.","","Geplant"
"05.07.2026","18:00","Instagram","Reel","🛡️ Viele denken: wenn ich nebenher aufbaue, riskiere ich meinen Job.

Das Gegenteil ist wahr.

Wer nur auf ein Einkommen angewiesen ist, ist abhängig. Abhängig vom Chef, vom Unternehmen, von der Branche.

Wer ein zweites Standbein hat, verhandelt anders. Entscheidet freier. Schläft ruhiger. 💡

Der TAC Workshop zeigt wie das nebenher funktioniert. Schreib INFO.

#Sicherheit #Affiliate #TAC","https://sicher-weiterlesen.com/tac-workshop","","","Cinematic B-Roll, two income streams flowing together, stability and freedom combined visualization, 9:16 vertical format, photorealistic","Ein Einkommen.
Oder zwei.","","Gepostet"
