"Datum","Uhrzeit","Plattform","Post-Typ","Text","Link","Bild-URL","Bildprompt","Status"
"07.07.2026","17:55","LinkedIn","Foto","Ich hab mal mit einem Bekannten gegessen. Er war dabei, hat geantwortet, hat seinen Kaffee getrunken.

Aber er war irgendwie nicht wirklich da.

Ich hab ihn danach gefragt. Er hat kurz überlegt und dann gesagt: 'Ich weiß es selbst nicht. Ich bin seit Jahren nie wirklich wo ich gerade bin.'

Das ist eines der stillen Zeichen vom Funktionsmodus. Man ist anwesend. Aber präsent ist man nicht.

Und das merkst du oft selbst zuletzt.

Wie ist das bei dir gerade? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_n1_li.jpg","","Gepostet"
"10.07.2026","17:55","LinkedIn","Text","Burnout und Funktionsmodus sehen von außen manchmal gleich aus.

Aber es ist nicht dasselbe.

Burnout spürst du. Der Körper macht nicht mehr mit. Da ist ein klares Signal.

Funktionsmodus ist leiser. Der Körper macht mit. Du lieferst. Du funktionierst. Alles läuft.

Nur innen ist irgendwas weggegangen. Schwer zu benennen. Noch schwerer zu erklären.

Was davon erkennst du bei dir? Schreib es kurz in die Kommentare.","","","","Gepostet"
"13.07.2026","17:55","LinkedIn","Foto","Irgendwann hört man auf zu fragen was man eigentlich will. Und merkt es erst, wenn der Plan durch ist.

Dreißig Jahre lang hat man gearbeitet, aufgebaut, geliefert. Die Kinder sind groß. Das Business läuft.

Und plötzlich steht die Frage da: Was will ich jetzt eigentlich?

Die meisten weichen ihr aus. Zu unbequem. Zu ungewohnt.

Aber die Frage bleibt. Sie wird nur lauter.

Wann hat sich diese Frage bei dir zuletzt gemeldet? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_n3_li.jpg","","Gepostet"
"15.07.2026","17:55","LinkedIn","Foto","Der Urlaub hat nicht geholfen. Weil das Problem kein Stress war.

Ich höre das regelmäßig: 'Ich brauche mal Urlaub, dann wird das besser.'

Manchmal stimmt das. Manchmal kommt man zurück und nach einer Woche ist alles wieder wie vorher.

Das Problem war, dass das System schon so lange im Dauerbetrieb läuft, dass es Ruhe gar nicht mehr kennt.

Das kann man nicht wegschlafen. Das braucht was anderes.

Was sind deine Erfahrungen damit? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_02jun_li.jpg","","Geplant"
"17.07.2026","17:55","LinkedIn","Foto","'Ich treffe täglich zehn Entscheidungen. Aber keine davon fühlt sich wirklich richtig an.'

Das hat mir ein Mann gesagt mit dem ich gearbeitet habe.

Er meinte damit keine falschen Entscheidungen. Er meinte dieses innere Bestätigen, dieses Gefühl von: ja, das ist es.

Das war weg.

Schleichend. Über Jahre.

Das Nervensystem war so lange im Überlebensmodus, dass es keinen Spielraum mehr für echtes Spüren hatte.

Kennst du dieses Gefühl? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_A_decoded_li.jpg","","Geplant"
"19.07.2026","17:55","LinkedIn","Text","Du liegst abends im Bett. Der Körper ist müde. Der Kopf läuft weiter.

Das nennen viele 'nicht abschalten können'.

Was sie meinen: der Gedankenstrom hört nicht auf. Man denkt an den nächsten Tag, an offene Punkte, an das was noch nicht erledigt ist.

Abschalten bedeutet aber nicht, keine Gedanken zu haben. Es bedeutet, dass das Nervensystem wirklich in Ruhe geht. Nicht nur der Körper liegt rum, sondern das System kommt tatsächlich runter.

Das ist ein Unterschied den man spürt. Oder eben nicht spürt, weil man ihn nie hatte.

Wie funktioniert das bei dir? Schreib kurz in die Kommentare.","","","","Gepostet"
"21.07.2026","17:55","LinkedIn","Foto","'Ich hab das gewusst. Aber noch nie so klar gesehen.' Das sagt fast jeder der den Standortcheck ausfüllt.

Kein Programm. Keine Diagnose. Nur ein Spiegel.

Neun Fragen. Zehn Minuten. Man sieht schwarz auf weiß, wo man gerade steht.

Manche sagen danach: das allein hat schon was in Bewegung gebracht.

Wenn du neugierig bist: der Standortcheck ist kostenlos im ersten Kommentar.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_C_decoded_li.jpg","","Geplant"
"23.07.2026","17:55","LinkedIn","Foto","Den Moment wo alles kippt gibt es meistens nicht.

Es ist ein kleiner Satz. Einer den man sich selbst sagt. Oder ein Moment in dem man bemerkt, dass man wieder nicht wirklich dabei war.

Und dann eine Entscheidung.

Nicht die Entscheidung alle Probleme zu lösen. Sondern die Entscheidung, mal ehrlich hinzuschauen.

Was war das bei dir? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_30jun_decoded_li.jpg","","Geplant"
"25.07.2026","17:55","LinkedIn","Text","Sommerpause ist für manche Männer die härteste Zeit.

Das Business läuft langsamer. Weniger Termine. Mehr Raum.

Und plötzlich ist da Stille, die man gar nicht mehr gewohnt ist. Keine To-do-Liste die das ausfüllt.

Einige genießen das. Andere merken erst jetzt, wie unruhig sie ohne Struktur sind.

Das ist kein Problem. Das ist Information.

Wie geht dir das gerade? Schreib es in die Kommentare.","","","","Geplant"
"27.07.2026","17:55","LinkedIn","Foto","Das Problem ist nicht, dass du zu wenig weißt. Du hast zwanzig Jahre lang nur nach außen geliefert.

Männer im Funktionsmodus brauchen keine neuen Strategien. Die haben genug davon.

Was fehlt ist etwas anderes. Ein Raum wo man nichts leisten muss. Wo man einfach da sein kann ohne sofort in Lösungsmodus zu springen.

Das klingt banal. Für viele ist es das Schwerste.

Was wäre für dich so ein Raum? Schreib es in die Kommentare.","","https://raw.githubusercontent.com/anstock-58/instagram-autopilot/master/outputs/fotos-andi/foto_n2_li.jpg","","Geplant"
